Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Thiago P.,/user_details?userid=oKX-9XaZxpMHsaWkOznLyg,"Brooklyn, Brooklyn, NY",8/1/2021,3.0,Service was not good and they were pushy with food even tho they don't really have vegan options. Drinks were ok,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Artem P.,/user_details?userid=1HHtC8UCNirFeK10qULXPw,"Bay Ridge, Brooklyn, NY",8/27/2020,5.0,"Wowww.... just wowww... I never write reviews but after this pork belly I had to. Not sure what kind of secret Colombian ingredients they put there, but it was pure taste heaven... Unbelievable, go try it :)",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jordan D.,/user_details?userid=1OdlSIrNUaQeE0z3bxd3YQ,"New York, NY",8/13/2021,5.0,"Ray was an absolutely fabulous server, spot on with the cocktail recs and impeccable with the descriptions of food when we had questions. Cannot recommend this place highly enough, get it while the gettings good! And ask for Ray!",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sophie Y.,/user_details?userid=gknEByLqPALPMsk3_W05mw,"Queens, Queens, NY",2/14/2020,2.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David W.,/user_details?userid=nqmuPKDP1xtietKmL0EnOg,"Brooklyn, NY",12/23/2021,5.0,"the sort of place you want to sit all night, and the food is marvelous. queer-owned and fucking delicious. go here.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Malissa O.,/user_details?userid=IjDy7vRKGmO_jcjf8VJCRQ,"New York, NY",7/3/2021,3.0,"The ambiance was nice, the drinks were delicious,  but unfortunately the food was over priced and lacked flavor.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jonathan W.,/user_details?userid=NkdLtgg6fwgUQQ5xmYtV6g,"San Francisco, CA",5/17/2019,4.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nate A.,/user_details?userid=AQo9LS__NdZVAkKxtTswyg,"Brooklyn, NY",2/28/2020,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Deibi O.,/user_details?userid=jfuSViYHz_CQzHKafr-CIg,"Tyrone, Tampa Bay, FL",8/15/2021,1.0,"Place looks very nice, but the customer service very bad.  the nasty waiter, bad attitude and kind of racist",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Erika W.,/user_details?userid=I34BHIhMFkLbsw82Rf1q9w,"San Francisco, CA",5/3/2021,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
